tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating
Business,1270,University of Maryland,Jennifer,,Marr,2375425,3,good,TEACHER,PROFESSOR,4.3
Business,1270,University of Maryland,Gregory,,Marr,2315558,18,poor,TEACHER,PROFESSOR,2.2
English,1270,University of Maryland,Andrew,,Marsh,1680361,0,zero,TEACHER,PROFESSOR,N/A
Computer Science,1270,University of Maryland,Michael,,Marsh,2549134,9,good,TEACHER,PROFESSOR,3.8
Sociology,1270,University of Maryland,Kris,,Marsh,1244081,7,good,TEACHER,PROFESSOR,3.6
Journalism,1270,University of Maryland,Madeline,,Marshall,1846725,1,good,TEACHER,PROFESSOR,5.0
Theater,1270,University of Maryland,Caitlin,,Marshall,2337951,21,good,TEACHER,PROFESSOR,4.1
Education,1270,University of Maryland,Elizabeth,,Marshall,669149,3,good,TEACHER,PROFESSOR,4.5
Languages,1270,University of Maryland,Cynthia,,Martin,1022773,12,good,TEACHER,PROFESSOR,4.9
Sociology,1270,University of Maryland,Carolina,,Martin,1267208,9,good,TEACHER,PROFESSOR,3.6
Mathematics,1270,University of Maryland,William,J,Martin,1774916,2,poor,TEACHER,PROFESSOR,1.0
Geology,1270,University of Maryland,Aaron,,Martin,1822125,1,poor,TEACHER,PROFESSOR,2.0
Accounting,1270,University of Maryland,Rebecca ,,Martin,2089003,0,zero,TEACHER,PROFESSOR,N/A
Law,1270,University of Maryland,William,M.,Martin,2816192,0,zero,TEACHER,PROFESSOR,N/A
Art History,1270,University of Maryland,Louise,,Martinez,447032,21,good,TEACHER,PROFESSOR,4.4
Sociology,1270,University of Maryland,Rod,,Martinez,2800625,0,zero,TEACHER,PROFESSOR,N/A
Engineering,1270,University of Maryland,Nuno,,Martins,1420996,1,good,TEACHER,PROFESSOR,5.0
Sociology,1270,University of Maryland,M,,Mashayekhi,1173843,24,poor,TEACHER,PROFESSOR,2.2
English,1270,University of Maryland,Shayna,,Maskell,1813967,2,average,TEACHER,PROFESSOR,3.0
Communication,1270,University of Maryland,Michele,,Mason,458626,20,good,TEACHER,PROFESSOR,3.8
English,1270,University of Maryland,Ann,,Mason,2315280,2,good,TEACHER,PROFESSOR,4.0
Government,1270,University of Maryland,Lilliana,,Mason,2688348,2,good,TEACHER,PROFESSOR,3.5
Dance,1270,University of Maryland,Gabriel,,Mata,2599680,0,zero,TEACHER,PROFESSOR,N/A
French,1270,University of Maryland,Marylin,,Matar,975479,5,good,TEACHER,PROFESSOR,4.6
Classics,1270,University of Maryland,Robert,,Matera,2457963,3,good,TEACHER,PROFESSOR,4.0
Women's Studies,1270,University of Maryland,Jessica,,Mathiason,2435981,7,good,TEACHER,PROFESSOR,4.1
Criminal Justice,1270,University of Maryland,Mauri,J,Matsuda,1837394,0,zero,TEACHER,PROFESSOR,N/A
Architecture,1270,University of Maryland,Georgeanne,,Matthews,2399759,1,good,TEACHER,PROFESSOR,4.0
Bioengineering,1270,University of Maryland,Silvina,,Matysiak,2156107,2,poor,TEACHER,PROFESSOR,2.0
Spanish,1270,University of Maryland,Sofia,,Maurette,2750630,1,good,TEACHER,PROFESSOR,4.0
Criminal Justice,1270,University of Maryland,Tom,,Mauriello,176680,23,good,TEACHER,PROFESSOR,4.7
Criminal Justice,1270,University of Maryland,Thomas,,Mauriello,2804200,0,zero,TEACHER,PROFESSOR,N/A
Architecture,1270,University of Maryland,Lindsey,,May,2327649,4,good,TEACHER,PROFESSOR,3.5
Education,1270,University of Maryland,Jason,,Mayernick,2313027,3,good,TEACHER,PROFESSOR,5.0
Dance,1270,University of Maryland,Alvin,,Mayes,1286574,1,good,TEACHER,PROFESSOR,4.5
History,1270,University of Maryland,Betty Jo,,Mayeske,386136,5,poor,TEACHER,PROFESSOR,1.2
Information Science,1270,University of Maryland,Leonard,,Mayfield,2348750,3,poor,TEACHER,PROFESSOR,1.0
History,1270,University of Maryland,Marlene,,Mayo,914886,14,poor,TEACHER,PROFESSOR,2.3
Communication,1270,University of Maryland,Chelsea,,Mays-Williams,2556172,3,good,TEACHER,PROFESSOR,4.7
Business,1270,University of Maryland,Raveesh,,Mayya,2369847,0,zero,TEACHER,PROFESSOR,N/A
Computer Science,1270,University of Maryland,Michelle,,Mazurek,2218899,0,zero,TEACHER,PROFESSOR,N/A
Communication,1270,University of Maryland,Raphael,,Mazzone,2328691,10,good,TEACHER,PROFESSOR,5.0
Mathematics,1270,University of Maryland,Susan,,Mazzullo,2322896,25,good,TEACHER,PROFESSOR,4.1
Agriculture,1270,University of Maryland,Carol,,McAusland,849812,3,good,TEACHER,PROFESSOR,4.0
Engineering,1270,University of Maryland,Patrick,,McAvoy,2256122,8,good,TEACHER,PROFESSOR,4.8
Hospitality,1270,University of Maryland,Greg,,McBrayer,845524,10,good,TEACHER,PROFESSOR,4.4
Criminal Justice,1270,University of Maryland,A.,,Mohammad Sadeghy,1042109,0,zero,TEACHER,PROFESSOR,N/A
Biology,1270,University of Maryland,Swarna,,Mohan,2596666,25,poor,TEACHER,PROFESSOR,2.2
Physics,1270,University of Maryland,.,,Mohapatra,515195,15,average,TEACHER,PROFESSOR,2.5
Physics,1270,University of Maryland,Rabindra,,Mohapatra,2193835,10,average,TEACHER,PROFESSOR,2.5
Psychology,1270,University of Maryland,Johnathan,,Mohr,1499364,3,good,TEACHER,PROFESSOR,4.8
Psychology,1270,University of Maryland,Jonathan,,Mohr,2602140,0,zero,TEACHER,PROFESSOR,N/A
Family Studies,1270,University of Maryland,Manouchehr,,Mokhtari,966003,71,good,TEACHER,PROFESSOR,4.5
Agriculture,1270,University of Maryland,Michelle,,Molinaro,2351643,1,good,TEACHER,PROFESSOR,5.0
Philosophy,1270,University of Maryland,Dan,,Moller,2322530,8,good,TEACHER,PROFESSOR,4.5
Agriculture,1270,University of Maryland,Bahram,,Momen,279340,1,good,TEACHER,PROFESSOR,5.0
Information Science,1270,University of Maryland,Naghmeh,,Momeni,2686869,5,average,TEACHER,PROFESSOR,2.8
English,1270,University of Maryland,Michelle,,Moncrieffe,2460476,2,good,TEACHER,PROFESSOR,4.0
Physics,1270,University of Maryland,Christopher,,Monroe,1901634,0,zero,TEACHER,PROFESSOR,N/A
English,1270,University of Maryland,Megan,,Monserez,1346417,2,good,TEACHER,PROFESSOR,5.0
Speech amp Hearing Sciences,1270,University of Maryland,Eusabia,,Mont,2411271,0,zero,TEACHER,PROFESSOR,N/A
Women's Studies,1270,University of Maryland,Clara,,Montague,2216889,4,good,TEACHER,PROFESSOR,4.3
Chemistry,1270,University of Maryland,M.,,Montague-Smith,626001,41,good,TEACHER,PROFESSOR,3.8
Bioengineering,1270,University of Maryland,Hubert,,Montas,2093324,2,good,TEACHER,PROFESSOR,4.5
Geology,1270,University of Maryland,Laurent,,Montesi,1081659,9,good,TEACHER,PROFESSOR,4.0
Economics,1270,University of Maryland,Nicholas,,Montgomery,2219423,9,good,TEACHER,PROFESSOR,4.0
English,1270,University of Maryland,Donald,,McGlew,1815987,0,zero,TEACHER,PROFESSOR,N/A
Criminal Justice,1270,University of Maryland,Jean,,McGloin,942743,9,good,TEACHER,PROFESSOR,4.6
English,1270,University of Maryland,Heather,,McHale,1311191,14,good,TEACHER,PROFESSOR,3.8
Plant & Soil Science,1270,University of Maryland,Marla,,McIntosh,1380972,1,poor,TEACHER,PROFESSOR,1.0
Journalism,1270,University of Maryland,Jamie,,McIntyre,1836368,1,good,TEACHER,PROFESSOR,3.5
Microbiology,1270,University of Maryland,Kevin,,McIver,2145953,2,good,TEACHER,PROFESSOR,3.5
Education,1270,University of Maryland,Jessica,,McKechnie,2614352,4,good,TEACHER,PROFESSOR,5.0
Architecture,1270,University of Maryland,Joseph,Stephen,McKenley,2498013,1,good,TEACHER,PROFESSOR,4.0
Government,1270,University of Maryland,Brian,,McKenzie,1410691,1,good,TEACHER,PROFESSOR,5.0
Geography,1270,University of Maryland,Grant,,McKenzie,2328192,2,good,TEACHER,PROFESSOR,5.0
Accounting,1270,University of Maryland,James,,McKinney,937181,9,average,TEACHER,PROFESSOR,3.0
Science Technology & Society,1270,University of Maryland,Tim,,McKnight,2569500,0,zero,TEACHER,PROFESSOR,N/A
Mathematics,1270,University of Maryland,Karen,,McLaren,2104901,3,good,TEACHER,PROFESSOR,5.0
Art,1270,University of Maryland,Matthew,,McLaughlin,2671435,0,zero,TEACHER,PROFESSOR,N/A
French,1270,University of Maryland,Morgan,,McMahon,2291322,4,good,TEACHER,PROFESSOR,5.0
Business,1270,University of Maryland,Michael,G,McMillan,2746263,1,poor,TEACHER,PROFESSOR,2.0
Accounting,1270,University of Maryland,Patrick,,McNamee,2719961,0,zero,TEACHER,PROFESSOR,N/A
History,1270,University of Maryland,Donald,,McNeilly,453090,37,good,TEACHER,PROFESSOR,4.6
Honors,1270,University of Maryland,Leigha,,McReynolds,2768445,1,good,TEACHER,PROFESSOR,5.0
Government,1270,University of Maryland,Margaret,,McWeeney,2669507,4,good,TEACHER,PROFESSOR,3.5
English,1270,University of Maryland,Thomas,,Moser,810506,10,good,TEACHER,PROFESSOR,4.3
English,1270,University of Maryland,Scott,,Moses,1488255,1,poor,TEACHER,PROFESSOR,2.0
History,1270,University of Maryland,Alfred,,Moss,490311,5,good,TEACHER,PROFESSOR,3.6
Biology,1270,University of Maryland,David,,Mosser,638661,4,good,TEACHER,PROFESSOR,4.2
French,1270,University of Maryland,Carol,,Mossman,885168,2,good,TEACHER,PROFESSOR,3.8
Accounting,1270,University of Maryland,Leslie,,Mostow,1287760,12,average,TEACHER,PROFESSOR,2.7
Biology,1270,University of Maryland,Steve,,Mount,241066,9,poor,TEACHER,PROFESSOR,2.3
Computer Science,1270,University of Maryland,David,,Mount,2582398,2,good,TEACHER,PROFESSOR,5.0
Languages,1270,University of Maryland,Abbas,,Mousavi,1400740,0,zero,TEACHER,PROFESSOR,N/A
Kinesiology,1270,University of Maryland,Ronald,,Mower,2558460,4,good,TEACHER,PROFESSOR,3.8
Animal Science,1270,University of Maryland,Kasey,,Moyes,1780484,13,average,TEACHER,PROFESSOR,3.1
English,1270,University of Maryland,Cameron,,Mozafari,1669652,10,good,TEACHER,PROFESSOR,4.6
English,1270,University of Maryland,Kavita,,Mudan,1582533,2,good,TEACHER,PROFESSOR,4.8
Sociology,1270,University of Maryland,Collin,W,Mueller,2655364,3,good,TEACHER,PROFESSOR,5.0
Mathematics,1270,University of Maryland,Swarnava,,Mukhopadhyay,2215118,10,average,TEACHER,PROFESSOR,3.2
Linguistics,1270,University of Maryland,Karen,,Mulak,2442616,5,average,TEACHER,PROFESSOR,3.0
Chemistry,1270,University of Maryland,Amy,,Mullin,2649053,2,poor,TEACHER,PROFESSOR,1.0
History,1270,University of Maryland,Robyn,,Muncy,612119,15,good,TEACHER,PROFESSOR,4.8
Business,1270,University of Maryland,Jeffrey,C.,Mund,2568034,5,good,TEACHER,PROFESSOR,4.6
Astronomy,1270,University of Maryland,Lee,,Mundy,2330716,0,zero,TEACHER,PROFESSOR,N/A
Public Health,1270,University of Maryland,Jenna,B.,Messman,2452134,8,good,TEACHER,PROFESSOR,5.0
Bilingual Education,1270,University of Maryland,Isabelle,,Messou,2040168,0,zero,TEACHER,PROFESSOR,N/A
American Studies,1270,University of Maryland,Greg,,Metcalf,827543,19,good,TEACHER,PROFESSOR,3.8
Computer Science,1270,University of Maryland,Christopher,Allan,Metzler,2671827,0,zero,TEACHER,PROFESSOR,N/A
Journalism,1270,University of Maryland,Cheryl,Diaz,Meyer,2146643,2,poor,TEACHER,PROFESSOR,2.2
Honors,1270,University of Maryland,Joseph,,Meyer,2254088,1,poor,TEACHER,PROFESSOR,1.0
Philosophy,1270,University of Maryland,Chris,,Meyers,2207689,4,average,TEACHER,PROFESSOR,2.8
Theater,1270,University of Maryland,Jared,,Mezzocchi,1853872,1,good,TEACHER,PROFESSOR,4.0
Plant  Soil Science,1270,University of Maryland,Shirley,,Micallef,2208010,4,good,TEACHER,PROFESSOR,3.8
Mathematics,1270,University of Maryland,Danielle,,Middlebrooks,2603190,1,good,TEACHER,PROFESSOR,5.0
Criminal Justice,1270,University of Maryland,Greg,,Midgette,2409332,14,average,TEACHER,PROFESSOR,3.0
Computer Science,1270,University of Maryland,Ian,,Miers,2632516,1,poor,TEACHER,PROFESSOR,1.0
Chemistry,1270,University of Maryland,Alice,,Mignerey,875584,73,poor,TEACHER,PROFESSOR,1.8
Spanish,1270,University of Maryland,Jenifer,,Miguel Canton,2235881,0,zero,TEACHER,PROFESSOR,N/A
Humanities,1270,University of Maryland,Jaden,,Mikoulinskii,2820224,0,zero,TEACHER,PROFESSOR,N/A
Computer Science,1270,University of Maryland,George,,Mikulski,618199,10,good,TEACHER,PROFESSOR,4.8
History,1270,University of Maryland,Erika,,Milam,1446033,3,good,TEACHER,PROFESSOR,4.8
Physics,1270,University of Maryland,Howard,M,Milchberg,2599451,0,zero,TEACHER,PROFESSOR,N/A
Government,1270,University of Maryland,Kristina,,Miler,2087461,5,good,TEACHER,PROFESSOR,4.4
English,1270,University of Maryland,David,Scott,Miles,2355061,1,good,TEACHER,PROFESSOR,5.0
Engineering,1270,University of Maryland,James,,Milke,858394,4,good,TEACHER,PROFESSOR,4.9
Science,1270,University of Maryland,Tom,,Miller,1333176,0,zero,TEACHER,PROFESSOR,N/A
Psychology,1270,University of Maryland,Margaret,,Miller,1626966,7,good,TEACHER,PROFESSOR,4.9
English,1270,University of Maryland,Elizabeth,Ellis,Miller,2259707,1,good,TEACHER,PROFESSOR,5.0
Literature,1270,University of Maryland,Matthew,Thomas,Miller,2304525,2,good,TEACHER,PROFESSOR,5.0
Education,1270,University of Maryland,Joel,,Miller,2307708,4,good,TEACHER,PROFESSOR,5.0
Theater,1270,University of Maryland,Alex,,Miller,2657794,1,good,TEACHER,PROFESSOR,4.0
Criminal Justice,1270,University of Maryland,Jessica,,Miller,2532758,7,good,TEACHER,PROFESSOR,4.6
Government,1270,University of Maryland,Kristina,,Miller,2513491,1,poor,TEACHER,PROFESSOR,2.0
Kinesiology,1270,University of Maryland,Ross,,Miller,1936643,8,good,TEACHER,PROFESSOR,4.7
Computer Science,1270,University of Maryland,Stevens,,Miller,2658156,2,average,TEACHER,PROFESSOR,3.0
Business,1270,University of Maryland,Jeff,,Miller,734688,96,average,TEACHER,PROFESSOR,3.5
Astronomy,1270,University of Maryland,Coleman,,Miller,927929,14,good,TEACHER,PROFESSOR,4.0
Mathematics,1270,University of Maryland,John,,Millson,353860,16,average,TEACHER,PROFESSOR,3.3
Business,1270,University of Maryland,Geoffrey,,Milsom,2242983,5,good,TEACHER,PROFESSOR,3.6
Accounting,1270,University of Maryland,Jeffrey,,Milton,2106195,3,average,TEACHER,PROFESSOR,3.2
Journalism,1270,University of Maryland,Michael,,Mirny,2597564,1,good,TEACHER,PROFESSOR,5.0
Music,1270,University of Maryland,Madeline,,Miskie,1781388,1,good,TEACHER,PROFESSOR,5.0
Agriculture,1270,University of Maryland,Kartik,,Misra,2497384,16,average,TEACHER,PROFESSOR,2.7
Information Science,1270,University of Maryland,Erik,,Mitchell,2175721,2,poor,TEACHER,PROFESSOR,2.0
Criminal Justice,1270,University of Maryland,David,,Mitchell,2103111,7,good,TEACHER,PROFESSOR,4.3
Mechanical Engineering,1270,University of Maryland,Steven,,Mitchell,2104152,6,good,TEACHER,PROFESSOR,3.5
Business,1270,University of Maryland,Sunil,,Mithas,898633,3,poor,TEACHER,PROFESSOR,2.2
History,1270,University of Maryland,Lejnar,,Mitrojorgji,2381506,1,poor,TEACHER,PROFESSOR,2.0
Languages,1270,University of Maryland,Eiko,,Miura,1617330,0,zero,TEACHER,PROFESSOR,N/A
Sociology,1270,University of Maryland,Mansoor,,Moaddel,2241426,3,good,TEACHER,PROFESSOR,4.7
Mathematics,1270,University of Maryland,Ami,,Mobasheran,651232,0,zero,TEACHER,PROFESSOR,N/A
Biology,1270,University of Maryland,Edgar,,Moctezuma,873409,36,good,TEACHER,PROFESSOR,3.6
Science,1270,University of Maryland,Mohammad,,Modarres,2679569,0,zero,TEACHER,PROFESSOR,N/A
Bioengineering,1270,University of Maryland,Frank,,Modica,2276574,4,average,TEACHER,PROFESSOR,3.0
Journalism,1270,University of Maryland,Susan,,Moeller,743381,29,average,TEACHER,PROFESSOR,3.3
American Studies,1270,University of Maryland,Jarah,,Moesch,1729901,1,good,TEACHER,PROFESSOR,5.0
Sociology,1270,University of Maryland,Linda,,Moghadam,799717,14,average,TEACHER,PROFESSOR,3.3
Engineering,1270,University of Maryland,Nicole,,Mogul,2443215,11,average,TEACHER,PROFESSOR,3.5
Information Science,1270,University of Maryland,Abdirisak,Abdullahi,Mohamed,2758133,1,poor,TEACHER,PROFESSOR,1.0
Computer Science,1270,University of Maryland,Hajiaghayi,,Mohammad,1697165,1,good,TEACHER,PROFESSOR,5.0
Criminal Justice,1270,University of Maryland,A.,,Mohammad Sadeghy,1042109,0,zero,TEACHER,PROFESSOR,N/A
Biology,1270,University of Maryland,Swarna,,Mohan,2596666,34,poor,TEACHER,PROFESSOR,2.3
Physics,1270,University of Maryland,.,,Mohapatra,515195,15,average,TEACHER,PROFESSOR,2.5
Physics,1270,University of Maryland,Rabindra,,Mohapatra,2193835,10,average,TEACHER,PROFESSOR,2.5
Communication,1270,University of Maryland,Annie,,Nichols,2227285,1,good,TEACHER,PROFESSOR,5.0
Communication,1270,University of Maryland,Annie Laurie,,Nichols,2319113,1,good,TEACHER,PROFESSOR,5.0
African-American Studies,1270,University of Maryland,Jason,,Nichols,1119852,27,average,TEACHER,PROFESSOR,3.3
Chemistry,1270,University of Maryland,Zhihong,,Nie,2261103,1,poor,TEACHER,PROFESSOR,2.0
Atmospheric amp Oceanic Sciences,1270,University of Maryland,Sumant,,Nigam,2485313,0,zero,TEACHER,PROFESSOR,N/A
Journalism,1270,University of Maryland,Gagan,,Nirula,2625318,2,good,TEACHER,PROFESSOR,5.0
Mathematics,1270,University of Maryland,Ricardo,,Nochetto,968733,2,poor,TEACHER,PROFESSOR,1.8
Landscape Architecture & Regional Planning,1270,University of Maryland,Dennis,,Nola,1928776,13,good,TEACHER,PROFESSOR,4.4
English,1270,University of Maryland,Elizabeth,,Nonemaker,2660011,1,good,TEACHER,PROFESSOR,5.0
Computer Science,1270,University of Maryland,David,,Noonan,1796903,0,zero,TEACHER,PROFESSOR,N/A
English,1270,University of Maryland,Howard,,Norman,621541,2,average,TEACHER,PROFESSOR,3.0
Psychology,1270,University of Maryland,Kent,,Norman,833526,4,good,TEACHER,PROFESSOR,4.6
Architecture,1270,University of Maryland,Elijah,,Northen,2703404,1,good,TEACHER,PROFESSOR,5.0
Linguistics,1270,University of Maryland,Jared,,Novick,2200267,15,good,TEACHER,PROFESSOR,4.8
Languages,1270,University of Maryland,Justin,,Nuger,1514024,1,good,TEACHER,PROFESSOR,5.0
English,1270,University of Maryland,Zita,,Nunes,179429,16,good,TEACHER,PROFESSOR,4.0
English,1270,University of Maryland,Alexandria,Jochebed,Nunn,2615702,1,good,TEACHER,PROFESSOR,4.0
Communication,1270,University of Maryland,Raimonda,,Nuredini,2567464,1,good,TEACHER,PROFESSOR,5.0
Honors,1270,University of Maryland,Temim,,Nusraty,1832001,5,good,TEACHER,PROFESSOR,5.0
Journalism,1270,University of Maryland,Andrew,,Nynka,1877999,1,good,TEACHER,PROFESSOR,5.0
Dance,1270,University of Maryland,Diedre,,Nyota-Dawkins,1251673,0,zero,TEACHER,PROFESSOR,N/A
Biology,1270,University of Maryland,David,,O''Brochta,1718058,4,good,TEACHER,PROFESSOR,3.7
Psychology,1270,University of Maryland,Kelly,,O'Brien,1229634,3,good,TEACHER,PROFESSOR,5.0
Biology,1270,University of Maryland,Tamatha,,O'brien,2601649,2,average,TEACHER,PROFESSOR,3.0
Psychology,1270,University of Maryland,Karen,,O'Brien,155020,13,good,TEACHER,PROFESSOR,4.0
Biology,1270,University of Maryland,Tammatha,,O'Brien,1393596,57,average,TEACHER,PROFESSOR,3.0
Biology,1270,University of Maryland,Dennis,,O'Connor,746880,41,poor,TEACHER,PROFESSOR,2.1
English,1270,University of Maryland,Samantha,,O'Connor,2479761,2,good,TEACHER,PROFESSOR,3.5
Psychology,1270,University of Maryland,Kevin,,O'Grady,1411705,0,zero,TEACHER,PROFESSOR,N/A
Information Science,1270,University of Maryland,Ryan,,O'Grady,2403492,4,good,TEACHER,PROFESSOR,5.0
Public Health,1270,University of Maryland,Jessica,,O'Hara,2033501,14,good,TEACHER,PROFESSOR,4.5
English,1270,University of Maryland,Lindsey,,O'Neil,2259340,3,good,TEACHER,PROFESSOR,5.0
Psychology,1270,University of Maryland,Meg,,O'Neill,2304094,13,good,TEACHER,PROFESSOR,4.4
Psychology,1270,University of Maryland,Meagan,M,O'Neill,2379947,5,good,TEACHER,PROFESSOR,4.8
English,1270,University of Maryland,Katherine,,O'Neill,2440011,3,good,TEACHER,PROFESSOR,4.7
Computer Science,1270,University of Maryland,Doug,,Oard,2317148,8,good,TEACHER,PROFESSOR,3.7
Economics,1270,University of Maryland,Wallace,,Oates,1268324,0,zero,TEACHER,PROFESSOR,N/A
Journalism,1270,University of Maryland,Sarah,,Oates,2313750,3,good,TEACHER,PROFESSOR,4.7
Finance,1270,University of Maryland,Anna,,Obizhaeva,1145298,3,good,TEACHER,PROFESSOR,4.0
Biology,1270,University of Maryland,Dennis,,Oconnor,1180877,4,poor,TEACHER,PROFESSOR,1.1
English,1270,University of Maryland,Thomas,,Moser,810506,10,good,TEACHER,PROFESSOR,4.3
English,1270,University of Maryland,Scott,,Moses,1488255,2,poor,TEACHER,PROFESSOR,1.5
History,1270,University of Maryland,Alfred,,Moss,490311,5,good,TEACHER,PROFESSOR,3.6
Biology,1270,University of Maryland,David,,Mosser,638661,4,good,TEACHER,PROFESSOR,4.2
French,1270,University of Maryland,Carol,,Mossman,885168,2,good,TEACHER,PROFESSOR,3.8
Accounting,1270,University of Maryland,Leslie,,Mostow,1287760,12,average,TEACHER,PROFESSOR,2.7
Biology,1270,University of Maryland,Steve,,Mount,241066,9,poor,TEACHER,PROFESSOR,2.3
Computer Science,1270,University of Maryland,David,,Mount,2582398,2,good,TEACHER,PROFESSOR,5.0
Languages,1270,University of Maryland,Abbas,,Mousavi,1400740,0,zero,TEACHER,PROFESSOR,N/A
Kinesiology,1270,University of Maryland,Ronald,,Mower,2558460,5,average,TEACHER,PROFESSOR,3.4
Animal Science,1270,University of Maryland,Kasey,,Moyes,1780484,13,average,TEACHER,PROFESSOR,3.1
English,1270,University of Maryland,Cameron,,Mozafari,1669652,10,good,TEACHER,PROFESSOR,4.6
Business,1270,University of Maryland,Maya,,Mudambi,2795319,0,zero,TEACHER,PROFESSOR,N/A
English,1270,University of Maryland,Kavita,,Mudan,1582533,2,good,TEACHER,PROFESSOR,4.8
Sociology,1270,University of Maryland,Collin,W,Mueller,2655364,4,good,TEACHER,PROFESSOR,5.0
Mathematics,1270,University of Maryland,Swarnava,,Mukhopadhyay,2215118,10,average,TEACHER,PROFESSOR,3.2
Linguistics,1270,University of Maryland,Karen,,Mulak,2442616,5,average,TEACHER,PROFESSOR,3.0
Chemistry,1270,University of Maryland,Amy,,Mullin,2649053,2,poor,TEACHER,PROFESSOR,1.0
Environmental Science,1270,University of Maryland,Jennifer,,Mullinax,2750942,1,good,TEACHER,PROFESSOR,5.0
History,1270,University of Maryland,Robyn,,Muncy,612119,15,good,TEACHER,PROFESSOR,4.8
Business,1270,University of Maryland,Jeffrey,C.,Mund,2568034,7,good,TEACHER,PROFESSOR,4.5
Astronomy,1270,University of Maryland,Lee,,Mundy,2330716,0,zero,TEACHER,PROFESSOR,N/A
French,1270,University of Maryland,Madeline,,Muravchik,2597617,0,zero,TEACHER,PROFESSOR,N/A
Criminal Justice,1270,University of Maryland,Thomas,,Murellio,2721559,0,zero,TEACHER,PROFESSOR,N/A
Psychology,1270,University of Maryland,Kevin,,Murnane,94466,75,good,TEACHER,PROFESSOR,3.9
Chemistry,1270,University of Maryland,Thomas,,Murphy,451388,51,poor,TEACHER,PROFESSOR,1.5
History,1270,University of Maryland,Mary-Elizabeth,,Murphy,1139196,2,good,TEACHER,PROFESSOR,4.8
Communication,1270,University of Maryland,Nora,,Murphy,2306937,4,good,TEACHER,PROFESSOR,4.5
Writing,1270,University of Maryland,Gene,,Murray,2174808,1,poor,TEACHER,PROFESSOR,1.0
Public Health,1270,University of Maryland,Rianna,,Murray,2681280,0,zero,TEACHER,PROFESSOR,N/A
Economics,1270,University of Maryland,Peter,,Murrell,2107187,12,poor,TEACHER,PROFESSOR,2.3
Astronomy,1270,University of Maryland,Richard,,Mushotzky,2697933,1,good,TEACHER,PROFESSOR,5.0
Linguistics,1270,University of Maryland,Dominique,,Mwepu,2621681,4,good,TEACHER,PROFESSOR,3.8
Plant  Soil Science,1270,University of Maryland,David,,Myers,2226336,2,good,TEACHER,PROFESSOR,5.0
Engineering,1270,University of Maryland,Taylor,,Myers,2477998,4,good,TEACHER,PROFESSOR,5.0
Communication,1270,University of Maryland,Taryn,,Myers,2593289,2,good,TEACHER,PROFESSOR,5.0
Public Health,1270,University of Maryland,Noel,,Myricks,2777684,0,zero,TEACHER,PROFESSOR,N/A
Communication,1270,University of Maryland,P.,,Nadler,1056066,11,average,TEACHER,PROFESSOR,3.1
Art History,1270,University of Maryland,Asma,,Naeem,1807533,2,good,TEACHER,PROFESSOR,5.0
Business,1270,University of Maryland,Koki,,Nagata,1765414,1,good,TEACHER,PROFESSOR,5.0
Spanish,1270,University of Maryland,Jose,,Naharro-Calderon,2277135,4,good,TEACHER,PROFESSOR,3.5
Engineering,1270,University of Maryland,Kazuo,,Nakajima,1522037,2,poor,TEACHER,PROFESSOR,1.8
Criminal Justice,1270,University of Maryland,Kiminori,,Nakamura,2084049,3,good,TEACHER,PROFESSOR,4.3
Communication,1270,University of Maryland,Kang,,Namkoong,2738877,1,average,TEACHER,PROFESSOR,3.0
Communication,1270,University of Maryland,Xiaoli,,Nan,1221552,4,good,TEACHER,PROFESSOR,4.1
Physics,1270,University of Maryland,Giridhar,,Nandikotkur,1011696,31,good,TEACHER,PROFESSOR,4.7
Mathematics,1270,University of Maryland,Peter,,Nandori,2167717,11,good,TEACHER,PROFESSOR,4.2
Education,1270,University of Maryland,Carolina,,Napp Avelli,2007965,2,average,TEACHER,PROFESSOR,3.0
Engineering,1270,University of Maryland,Prakash,,Narayan,1127299,4,good,TEACHER,PROFESSOR,3.5
American Studies,1270,University of Maryland,Phil,,Nash,1184193,3,good,TEACHER,PROFESSOR,4.8
Asian Studies,1270,University of Maryland,Phil,Tajitsu,Nash,2326800,1,good,TEACHER,PROFESSOR,5.0
Asian Studies,1270,University of Maryland,Phillip,,Nash,2574835,0,zero,TEACHER,PROFESSOR,N/A
Journalism,1270,University of Maryland,Sohana,,Nasrin,2555586,2,good,TEACHER,PROFESSOR,5.0
Architecture,1270,University of Maryland,Paula,,Nasta,2497058,0,zero,TEACHER,PROFESSOR,N/A
Economics,1270,University of Maryland,Shanjukta,,Nath,2663257,0,zero,TEACHER,PROFESSOR,N/A
Theater,1270,University of Maryland,Heather,,Nathans,621581,6,good,TEACHER,PROFESSOR,4.1
Theater,1270,University of Maryland,Lisa,,Nathans,2261710,3,good,TEACHER,PROFESSOR,4.7
Psychology,1270,University of Maryland,Ana,,Navarro Cebrian,2759918,2,good,TEACHER,PROFESSOR,4.0
Science,1270,University of Maryland,Ashley,,Nazario-Toole,2216915,9,good,TEACHER,PROFESSOR,4.8
Mathematics,1270,University of Maryland,Franck Olivier,,Ndjakou Njeunje,2466285,6,good,TEACHER,PROFESSOR,3.8
Engineering,1270,University of Maryland,Ashish,,Nedungadi,2612923,0,zero,TEACHER,PROFESSOR,N/A
